20250518T082349 | B0 03 00 58 08 D6 00 00 00 00 00 00 00 01 00 00 05 8B 00 A2 05 71 0B AC 00 62 00 03 00 E6 00 96 00 02 05 41 00 00 48 A8 00 64 00 64 FF FF 00 00 00 00 00 FA 00 00 00 00 00 00 00 00 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 C0 FF FF 7F 04
20250518T082349 | B0 03 00 40 00 26 DE 25 B0 03 00 26 00 03 00 03 00 03 00 01 00 01 00 01 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 00 64 00 64 D2 C9
20250518T082350 | C0 03 01 00 00 1E D4 EF
20250518T082350 | F5 03 00 00 00 0B 11 79
20250518T082350 | F0 03 00 08 00 0C D1 2C
20250518T082350 | 7E FF A0 03 00 08 CD D7
20250518T082351 | 7E FF C1 03 00 08 D2 2B
20250518T082351 | 7E FF 41 03 00 08 FB EB
20250518T082351 | B0 03 00 08 00 44 DF DA
20250518T082351 | B0 03 00 44 03 01 00 B0 00 00 00 03 00 05 03 E8 04 B0 04 88 06 40 00 1E 00 00 05 8C 05 46 05 8C 00 00 02 58 00 00 05 A0 01 E0 04 C4 05 DC 0D AC 0B B8 00 02 00 01 00 00 00 FF 00 00 00 FF 00 00 00 FF 00 00 00 64 00 FF 39 65
20250518T082352 | B0 03 01 00 00 58 5E 2D
20250518T082352 | B0 03 00 58 08 FA 00 00 00 00 00 00 00 00 00 00 05 8D 00 97 05 4E 03 AD 00 62 00 0A 00 E6 00 96 00 02 05 31 00 00 48 A8 00 64 00 64 FF FF 00 00 00 00 00 FA 00 00 00 00 00 00 00 00 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 C0 FF FF 8B 2F
20250518T082352 | B0 03 00 40 00 26 DE 25 B0 03 00 26 00 03 00 03 00 03 00 01 00 01 00 01 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 00 64 00 64 D2 C9
20250518T082352 | C0 03 01 00 00 1E D4 EF
20250518T082353 | F5 03 00 00 00 0B 11 79
20250518T082353 | F0 03 00 08 00 0C D1 2C
20250518T082353 | 7E FF A0 03 00 08 CD D7
20250518T082353 | 7E FF C1 03 00 08 D2 2B
20250518T082354 | 7E FF 41 03 00 08 FB EB
20250518T082354 | B0 03 00 08 00 44 DF DA
20250518T082354 | B0 03 00 44 03 01 00 B0 00 00 00 03 00 05 03 E8 04 B0 04 88 06 40 00 1E 00 00 05 8C 05 46 05 8C 00 00 02 58 00 00 05 A0 01 E0 04 C4 05 DC 0D AC 0B B8 00 02 00 01 00 00 00 FF 00 00 00 FF 00 00 00 FF 00 00 00 64 00 FF 39 65
20250518T082354 | B0 03 01 00 00 58 5E 2D
20250518T082354 | B0 03 00 58 07 B3 00 50 00 00 00 00 00 00 00 00 05 36 00 A3 05 38 FF AD 00 62 27 0F 00 E6 00 96 00 02 05 2E 00 00 08 A8 00 64 00 64 FF FF 00 00 00 00 00 FA 00 00 00 00 00 00 00 00 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 C0 FF FF BE 09
20250518T082355 | B0 03 00 40 00 26 DE 25 B0 03 00 26 00 03 00 03 00 03 00 01 00 01 00 01 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 00 64 00 64 D2 C9
20250518T082355 | C0 03 01 00 00 1E D4 EF
20250518T082355 | F5 03 00 00 00 0B 11 79
20250518T082355 | F0 03 00 08 00 0C D1 2C
20250518T082356 | 7E FF A0 03 00 08 CD D7
20250518T082356 | 7E FF C1 03 00 08 D2 2B
20250518T082356 | 7E FF 41 03 00 08 FB EB
20250518T082357 | B0 03 00 08 00 44 DF DA
20250518T082357 | B0 03 00 44 03 01 00 B0 00 00 00 03 00 05 03 E8 04 B0 04 88 06 40 00 1E 00 00 05 8C 05 46 05 8C 00 00 02 58 00 00 05 A0 01 E0 04 C4 05 DC 0D AC 0B B8 00 02 00 01 00 00 00 FF 00 00 00 FF 00 00 00 FF 00 00 00 64 00 FF 39 65
20250518T082357 | B0 03 01 00 00 58 5E 2D
20250518T082357 | B0 03 00 58 05 E7 00 00 00 00 00 00 00 00 00 00 05 34 00 80 05 36 FF 8C 00 62 13 DC 00 F0 01 0E 00 02 05 2C 00 00 08 A8 00 64 00 64 FF FF 00 00 00 00 00 FA 00 00 00 00 00 00 00 00 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 C0 FF FF BD F8
20250518T082357 | B0 03 00 40 00 26 DE 25 B0 03 00 26 00 03 00 03 00 03 00 01 00 01 00 01 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 00 64 00 64 D2 C9
20250518T082358 | C0 03 01 00 00 1E D4 EF
20250518T082358 | F5 03 00 00 00 0B 11 79
20250518T082358 | F0 03 00 08 00 0C D1 2C
20250518T082358 | 7E FF A0 03 00 08 CD D7
20250518T082359 | 7E FF C1 03 00 08 D2 2B
20250518T082359 | B0 10 01 0E 00 02 00 01 52 AE B0 10 01 0E 00 02 00 01 52 AE
